Temp,Rep,Bug,Time,Alive
-2.5,3,1,270,Y
-2.5,3,2,270,Y
-2.5,3,3,270,Y
-2.5,3,4,270,N
-2.5,3,5,270,Y
-2.5,3,6,270,Y
-2.5,3,7,270,Y
-2.5,3,8,270,Y
-2.5,3,9,270,Y
-2.5,3,10,270,Y
-2.5,1,1,300,Y
-2.5,1,2,300,N
-2.5,1,3,300,Y
-2.5,1,4,300,Y
-2.5,1,5,300,Y
-2.5,1,6,300,N
-2.5,1,7,300,N
-2.5,1,8,300,Y
-2.5,1,9,300,N
-2.5,1,10,300,Y
-2.5,2,1,300,N
-2.5,2,2,300,N
-2.5,2,3,300,Y
-2.5,2,4,300,Y
-2.5,2,5,300,Y
-2.5,2,6,300,Y
-2.5,2,7,300,Y
-2.5,2,8,300,N
-2.5,2,9,300,Y
-2.5,2,10,300,Y
-2.5,3,1,300,N
-2.5,3,2,300,N
-2.5,3,3,300,Y
-2.5,3,4,300,Y
-2.5,3,5,300,N
-2.5,3,6,300,Y
-2.5,3,7,300,Y
-2.5,3,8,300,Y
-2.5,3,9,300,Y
-2.5,3,10,300,N
-2.5,1,1,330,Y
-2.5,1,2,330,Y
-2.5,1,3,330,Y
-2.5,1,4,330,Y
-2.5,1,5,330,Y
-2.5,1,6,330,Y
-2.5,1,7,330,Y
-2.5,1,8,330,Y
-2.5,1,9,330,Y
-2.5,1,10,330,Y
-2.5,2,1,330,Y
-2.5,2,2,330,Y
-2.5,2,3,330,Y
-2.5,2,4,330,Y
-2.5,2,5,330,Y
-2.5,2,6,330,N
-2.5,2,7,330,Y
-2.5,2,8,330,Y
-2.5,2,9,330,N
-2.5,2,10,330,Y
-2.5,3,1,330,Y
-2.5,3,2,330,Y
-2.5,3,3,330,Y
-2.5,3,4,330,Y
-2.5,3,5,330,N
-2.5,3,6,330,N
-2.5,3,7,330,Y
-2.5,3,8,330,N
-2.5,3,9,330,N
-2.5,3,10,330,N
